,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,City Council District,Agency,Site,BBL,Address,Borough,Environmental Justice Zone*,Installation date,Installed  Capacity,Percentage of Max Peak Demand,Estimated Annual Production,Percentage of Annual Electricity Consumption,Estimated Annual Emissions Reduction,Estimated Social Cost of Carbon Value**,Estimated Annual Energy Savings***,Upfront Project Cost,Financing Mechanism
0,0,0,0,0,0,0,1,DCAS,City Hall,1,City Hall Park,Manhattan,0,4/17/2015,10.0 kW,0.10%,"11,738 kWh",0.10%,3 MT CO2,$403,"$1,229","$1,297",Capital
1,1,1,1,1,1,1,1,DOE,M276,1000160040,55 Battery Place,Manhattan,0,7/1/2010,50.0 kW,6%,"58,692 kWh",3%,15 MT CO2,"$2,017","$5,765","$231,500",Capital
2,2,2,2,2,2,2,1,DOT,Whitehall Ferry Terminal,1000020001,4 South St,Manhattan,0,7/1/2005,59.0 kW,6%,"69,257 kWh",2%,18 MT CO2,"$2,380","$6,803","$236,000",Capital
3,3,3,3,3,3,3,1,CUNY,BMCC Chambers St. Building,1001420050,199 Chambers St,Manhattan,0,11/29/2017,307.0 kW,5%,"360,369 kWh",2%,94 MT CO2,"$12,386","$34,486","$4,200,000",Capital
4,4,4,4,4,4,4,2,DOE,M022 - NEST,1003350001,111 Columbia St,Manhattan,EJZ,7/1/2014,125.0 kW,20%,"146,730 kWh",17%,38 MT CO2,"$5,043","$13,305","$905,386",Capital
5,5,5,5,5,5,5,3,DOE,M070,1007410010,333 West 17th St,Manhattan,0,4/21/2016,159.2 kW,24%,"186,887 kWh",24%,49 MT CO2,"$6,424","$16,946","$650,690",Capital
6,6,6,6,6,6,6,6,DOE,M470,1012150001,145 West 84th Street,Manhattan,0,7/1/2012,46.7 kW,3%,"54,818 kWh",2%,14 MT CO2,"$1,884","$5,738","$392,500",Capital
7,7,7,7,7,7,7,8,DPR,Five Borough Administrative Building,1018190203,20 Bronx Shore Rd,Manhattan,EJZ,6/5/2015,46.2 kW,12%,"54,196 kWh",6%,14 MT CO2,"$1,863","$5,673","$108,836",Capital
8,8,8,8,8,8,8,9,DOE,M154,1019320010,250 West 127th Street,Manhattan,EJZ,4/28/2014,125.9 kW,30%,"147,775 kWh",26%,38 MT CO2,"$5,079","$13,400","$578,750",Capital
9,9,9,9,9,9,9,10,DOE,X475,2,99 Terrace View Ave,Bronx,EJZ,7/15/2014,117.0 kW,9%,"137,339 kWh",5%,36 MT CO2,"$4,721","-$34,571",$0,PPA
10,10,10,10,10,10,10,11,DOE,X445,2,75 West 205th St,Bronx,0,10/1/2005,36.0 kW,3%,"42,258 kWh",2%,11 MT CO2,"$1,452","$4,423","$166,680",Capital
11,11,11,11,11,11,11,12,DOE,X425,2046330040,800 East Gun Hill Rd,Bronx,EJZ,1/13/2016,131.8 kW,14%,"154,665 kWh",8%,40 MT CO2,"$5,316","$14,025","$570,186",Capital
