,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,City Council District,Agency,Site,Address,Borough,Environmental Justice Zone*,Estimated Capacity,Percentage of Max Peak Demand,Estimated Annual Production,Percentage of Annual Electricity Consumption,Estimated Annual Emissions Reduction,Estimated Cost of Carbon Value**,Estimated Annual Energy Savings***,Financing Mechanism,BBL
0,0,0,0,0,0,0,0,1,DOE,M025,145 Stanton St,Manhattan,,147.70 kW,22%,"194,400 kWh",16%,51 MT CO2,"$6,682 ","($16,392)",PPA,1003540080
1,1,1,1,1,1,1,1,1,DOE,M020,166 Essex St,Manhattan,EJZ,169.40 kW,59%,"223,100 kWh",53%,58 MT CO2,"$7,668 ","($18,812)",PPA,1003550010
2,2,2,2,2,2,2,2,1,DCAS,100 Gold Street,100 Gold Street,Manhattan,,259.80 kW,7%,"338,300 kWh",3%,88 MT CO2,"$11,628 ","($26,828)",PPA,1000940025
3,3,3,3,3,3,3,3,2,DOE,M188,442 East Houston St,Manhattan,EJZ,109.70 kW,25%,"143,100 kWh",19%,37 MT CO2,"$4,919 ","($12,067)",PPA,1003560100
4,4,4,4,4,4,4,4,2,DOE,M064,600 East 6th St,Manhattan,EJZ,153.20 kW,39%,"197,700 kWh",28%,51 MT CO2,"$6,795 ","($16,671)",PPA,1003870001
5,5,5,5,5,5,5,5,3,DOE,M440,351 West 18th St,Manhattan,,38.60 kW,7%,"50,440 kWh",3%,13 MT CO2,"$1,734 ","($3,547)",PPA,1007420007
6,6,6,6,6,6,6,6,4,HHC,Bellevue Hospital (Main Building),462 First Ave,Manhattan,EJZ,83.50 kW,1%,"107,600 kWh",0.2%,28 MT CO2,"$3,698 ","($6,347)",PPA,1009620100
7,7,7,7,7,7,7,7,4,DOE,M167,220 East 76th St,Manhattan,,186.00 kW,41%,"244,200 kWh",41%,64 MT CO2,"$8,394 ","($20,592)",PPA,1014300005
8,8,8,8,8,8,8,8,5,FDNY,Special Operations Command,750 Main St,Manhattan,EJZ,27.00 kW,26%,"31,694 kWh",11%,8 MT CO2,"$1,089 ","$3,317 ",Capital,1013730001
9,9,9,9,9,9,9,9,5,DOE,M645,320 East 96th St,Manhattan,,73.20 kW,35%,"85,925 kWh",22%,22 MT CO2,"$2,953 ","$8,440 ",Capital,1015580034
10,10,10,10,10,10,10,10,5,HHC,Coler Rehabilitation & Nursing Care Center Bldg A,900 Main St,Manhattan,EJZ,89.40 kW,3%,"113,500 kWh",1%,30 MT CO2,"$3,901 ","($6,695)",PPA,1013730050
11,11,11,11,11,11,11,11,5,HHC,Coler Rehabilitation & Nursing Care Center Bldg C,900 Main St,Manhattan,EJZ,138.30 kW,4%,"168,700 kWh",2%,44 MT CO2,"$5,799 ","($11,848)",PPA,1013730050
12,12,12,12,12,12,12,12,5,HHC,Coler Rehabilitation & Nursing Care Center Bldg B,900 Main St,Manhattan,EJZ,204.60 kW,7%,"244,100 kWh",3%,64 MT CO2,"$8,390 ","($17,143)",PPA,1013730050
13,13,13,13,13,13,13,13,6,DOE,M485,100 Amsterdam Ave,Manhattan,EJZ,150.10 kW,8%,"194,800 kWh",4%,51 MT CO2,"$6,696 ","($13,681)",PPA,1011560030
14,14,14,14,14,14,14,14,7,DOE,M028,475 West 155th St,Manhattan,EJZ,155.30 kW,47%,"201,600 kWh",36%,52 MT CO2,"$6,929 ","($17,000)",PPA,1021070026
15,15,15,15,15,15,15,15,8,HHC,Metro - OPD Building,1901 First Ave,Manhattan,EJZ,14.40 kW,0.2%,"16,903 kWh",0.1%,4 MT CO2,$581 ,($843),PPA,1016690001
16,16,16,16,16,16,16,16,8,HHC,Metro - Mental Health Building,1901 First Ave,Manhattan,EJZ,16.90 kW,0.3%,"22,150 kWh",0.1%,6 MT CO2,$761 ,"($1,104)",PPA,1016690001
17,17,17,17,17,17,17,17,8,HHC,Metro - Main Building,1901 First Ave,Manhattan,EJZ,34.80 kW,1%,"45,950 kWh",0.2%,12 MT CO2,"$1,579 ","($2,291)",PPA,1016690001
