,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,City Council District,2018 Solar-Ready Status,Agency,Site,BBL,Address,Borough,Environmental Justice Zone**,Total Gross Square Footage,Roof Condition,Roof Age,Solar-Readiness Assessment***,Other Sustainability Projects****
0,0,0,0,1,Not Solar-Ready,NYPL,Battery Park City Branch,1,175 North End Ave,Manhattan,,"10,000 GSF",Unknown,Unknown,,
1,1,1,1,1,Not Solar-Ready,FDNY,EMS 4,1,Pier 36,Manhattan,EJZ,"12,000 GSF",Unknown,15 to 19 years,,
2,2,2,2,1,Solar-Ready,NYPL,Chatham Square Branch Library,1002800044,33 East Broadway,Manhattan,EJZ,"12,243 GSF",Fair,< 2 years,,
3,3,3,3,1,Not Solar-Ready,FDNY,Engine Co. 33 & Ladder Co. 9,1005310049,42 Great Jones St,Manhattan,,"12,649 GSF",Unknown,10 to 14 years,,
4,4,4,4,1,Not Solar-Ready,DPR,Alfred E. Smith Recreation Center,1001110160,86 Catherine St,Manhattan,EJZ,"13,000 GSF",Fair,> 20 years,,
5,5,5,5,1,Not Solar-Ready,HHC,Judson Health Center,1004800021,34 Spring St,Manhattan,EJZ,"18,000 GSF",Between Good and Fair,15 to 19 years,,
6,6,6,6,1,Not Solar-Ready,FDNY,"Engine Co. 7 at Ladder Co. 1, Batt. 1",1001500025,100 Duane St,Manhattan,,"19,381 GSF",Unknown,10 to 14 years,,
7,7,7,7,1,Not Solar-Ready,NYPL,Seward Park Branch Library,1003110031,192 East Broadway,Manhattan,,"19,681 GSF",Fair,> 20 years,,
8,8,8,8,1,Not Solar-Ready,DSNY,Manhattan 3B Garage,1002750003,80 Henry St,Manhattan,EJZ,"21,110 GSF",Poor,> 20 years,,
9,9,9,9,1,Not Solar-Ready,NYPD,1st Precinct,1001900033,16 Ericsson Pl,Manhattan,,"23,300 GSF",Unknown,15 to 19 years,,
10,10,10,10,1,Solar-Ready,CUNY,BMCC Auditorium,1001420050,199 Chambers St,Manhattan,,"23,337 GSF",Fair,2 to 4 years,,
11,11,11,11,1,Not Solar-Ready,FDNY,Ladder Co. 20 and Medical and BFI Division,1004950007,251 Lafayette St,Manhattan,EJZ,"28,866 GSF",Unknown,10 to 14 years,,
12,12,12,12,1,Solar-Ready,NYPD,5th Precinct,1002010020,19 Elizabeth St,Manhattan,EJZ,"32,989 GSF",Good,5 to 9 years,,
13,13,13,13,1,Not Solar-Ready,DSNY,Print Shop and Storage,1002740006,134 Madison St,Manhattan,EJZ,"33,831 GSF",Poor,> 20 years,,
14,14,14,14,1,Not Solar-Ready,DEP,Manhattan Repair Shop,1002750028,30 Pike St,Manhattan,EJZ,"41,428 GSF",Fair,15 to 19 years,,
15,15,15,15,1,Not Solar-Ready,DCAS,115 Chrystie Street Office Building,1004230022,115 Chrystie St,Manhattan,EJZ,"55,000 GSF",Fair,> 20 years,,
16,16,16,16,1,Not Solar-Ready,NYPD,"7th Precinct, Engine Co. 15 and Ladder Co. 18, Batt. 4",1003420060,19-25 Pitt St,Manhattan,EJZ,"58,685 GSF",Fair,15 to 19 years,,
17,17,17,17,1,Not Solar-Ready,DCAS,Excelsior Building,1001970017,137 Centre St,Manhattan,,"59,000 GSF",Fair,> 20 years,,
18,18,18,18,1,Not Solar-Ready,DOE,M110,1003310140,285 DELANCEY STREET,Manhattan,,"62,480 GSF",Fair,15 to 19 years,,
19,19,19,19,1,Not Solar-Ready,DOE,M042,1003090001,71 HESTER STREET,Manhattan,EJZ,"74,080 GSF",Fair,15 to 19 years,,
20,20,20,20,1,Not Solar-Ready,DOE,M234,1001420001,292 GREENWICH STREET,Manhattan,,"84,903 GSF",Fair,> 20 years,,
21,21,21,21,1,Not Solar-Ready,DOE,M001,1002790040,8 HENRY STREET,Manhattan,EJZ,"87,680 GSF",Between Good and Fair,15 to 19 years,,
22,22,22,22,1,Not Solar-Ready,DOE,M510,1004220072,198 FORSYTH STREET,Manhattan,EJZ,"91,280 GSF",Fair,15 to 19 years,,
23,23,23,23,1,Not Solar-Ready,DOE,M130,1002360038,143 BAXTER STREET,Manhattan,EJZ,"95,145 GSF",Fair,> 20 years,,
24,24,24,24,1,Not Solar-Ready,DSNY,Administrative Offices,1000290073,44 Beaver St,Manhattan,,"97,596 GSF",Unknown,Unknown,,
25,25,25,25,1,Not Solar-Ready,DCAS,City Planning Building,1001540023,22 Reade St,Manhattan,,"99,000 GSF",Poor,Unknown,,
26,26,26,26,1,Not Solar-Ready,DOE,M140,1003440001,123 RIDGE STREET,Manhattan,EJZ,"99,481 GSF",Fair,15 to 19 years,,
27,27,27,27,1,Not Solar-Ready,DOE,M184,1002450007,327 CHERRY STREET,Manhattan,EJZ,"99,700 GSF",Fair,> 20 years,,
28,28,28,28,1,Not Solar-Ready,NYPD,Manhattan South Narcotics Unit,1002410013,36 South St,Manhattan,EJZ,"100,000 GSF",Between Good and Fair,10 to 14 years,,
29,29,29,29,1,Not Solar-Ready,DOE,M134,1002880015,293 EAST BROADWAY,Manhattan,EJZ,"104,460 GSF",Between Good and Fair,10 to 14 years,,
30,30,30,30,1,Not Solar-Ready,DOE,M126,1001110160,80 CATHERINE STREET,Manhattan,EJZ,"105,725 GSF",Fair,> 20 years,,
31,31,31,31,1,Not Solar-Ready,DOE,M002,1002730001,122 HENRY STREET,Manhattan,EJZ,"109,300 GSF",Fair,15 to 19 years,,
32,32,32,32,1,Not Solar-Ready,DOE,M124,1002890001,40 DIVISION STREET,Manhattan,EJZ,"111,725 GSF",Fair,> 20 years,,
33,33,33,33,1,Not Solar-Ready,DOE,M089,1000160220,201 WARREN STREET,Manhattan,,"114,125 GSF",Fair,15 to 19 years,,
34,34,34,34,1,Not Solar-Ready,DOE,M833,1000520001,100 TRINITY PLACE,Manhattan,,"115,125 GSF",Between Fair and Poor,15 to 19 years,,
