,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,City Council District,Agency,Site,Address,Borough,Environmental Justice Zone*,Solar-Readiness Assessment**,Estimated Capacity***,Estimated Annual Production***,Estimated Annual Emissions Reduction,BBL
0,0,0,0,0,0,0,0,0,0,1,CUNY,BMCC Fiterman Hall,245 Greenwich St,Manhattan,,,0.61 kW,716 kWh,0.2 MT CO2,1001270001
1,1,1,1,1,1,1,1,1,1,1,NYPL,Chatham Square Branch Library,33 East Broadway,Manhattan,EJZ,,1.83 kW,"2,148 kWh",1 MT CO2,1002800044
2,2,2,2,2,2,2,2,2,2,1,NYPD,5th Precinct,19 Elizabeth St,Manhattan,EJZ,,3.05 kW,"3,580 kWh",1 MT CO2,1002010020
3,3,3,3,3,3,3,3,3,3,1,DOE,M477,345 CHAMBERS ST.,Manhattan,,,12.20 kW,"14,321 kWh",4 MT CO2,1000160215
4,4,4,4,4,4,4,4,4,4,1,DCAS,Court Square Building,2 Lafayette St,Manhattan,,,14.60 kW,"17,142 kWh",4 MT CO2,1001550001
5,5,5,5,5,5,5,5,5,5,1,DOE,M520,411 PEARL ST,Manhattan,EJZ,,18.90 kW,"22,186 kWh",6 MT CO2,1001130100
6,6,6,6,6,6,6,6,6,6,1,DOE,M445,350 GRAND ST.,Manhattan,EJZ,Yes,40.60 kW,"51,015 kWh",13 MT CO2,1004080030
7,7,7,7,7,7,7,7,7,7,1,DHS,Catherine Life Family Shelter,78 Catherine St,Manhattan,EJZ,,48.80 kW,"57,283 kWh",15 MT CO2,1001110150
8,8,8,8,8,8,8,8,8,8,1,CUNY,BMCC Auditorium,199 Chambers St,Manhattan,,,51.90 kW,"139,301 kWh",36 MT CO2,1001420050
9,9,9,9,9,9,9,9,9,9,2,DHS,George Daly House Residence,269 East 4th St,Manhattan,EJZ,,6.10 kW,"7,160 kWh",2 MT CO2,1003870049
10,10,10,10,10,10,10,10,10,10,2,DOE,M844,400 1ST AVENUE,Manhattan,,,7.30 kW,"8,569 kWh",2 MT CO2,1009550001
11,11,11,11,11,11,11,11,11,11,2,DHS,Kenton Hotel Shelter,333 Bowery,Manhattan,EJZ,,18.30 kW,"21,481 kWh",6 MT CO2,1004580004
12,12,12,12,12,12,12,12,12,12,2,DHS,Manhattan Bowery Shelter,8 East 3rd St,Manhattan,EJZ,,21.40 kW,"25,120 kWh",7 MT CO2,1004580011
13,13,13,13,13,13,13,13,13,13,2,DOE,M015,333 EAST 4 STREET,Manhattan,EJZ,,43.30 kW,"50,827 kWh",13 MT CO2,1003740020
14,14,14,14,14,14,14,14,14,14,2,DOE,M060,420 EAST 12 STREET,Manhattan,,,62.10 kW,"82,921 kWh",22 MT CO2,1004390017
15,15,15,15,15,15,15,15,15,15,3,DOE,M011,320 WEST 21 STREET,Manhattan,,,0.00 kW,0 kWh,0 MT CO2,1007440024
16,16,16,16,16,16,16,16,16,16,3,DOE,M035,317 WEST 52 STREET,Manhattan,,,0.00 kW,0 kWh,0 MT CO2,1010430022
17,17,17,17,17,17,17,17,17,17,3,DPR,Chelsea Recreation Center,430 West 25th St,Manhattan,,,0.00 kW,0 kWh,0 MT CO2,1007220057
18,18,18,18,18,18,18,18,18,18,3,DSNY,"Manhattan Community Districts 1, 2 and 5",353 Spring St,Manhattan,,,0.00 kW,0 kWh,0 MT CO2,1
19,19,19,19,19,19,19,19,19,19,3,DPR,High Line Maintenance and Operations Building,820 Washington St,Manhattan,,,1.53 kW,"1,796 kWh",0.5 MT CO2,1006440010
20,20,20,20,20,20,20,20,20,20,3,NYPL,Muhlenberg Branch Library,209 West 23rd St,Manhattan,EJZ,,8.20 kW,"9,625 kWh",3 MT CO2,1007730038
21,21,21,21,21,21,21,21,21,21,3,DPR,Tony Dapolito Recreation Center,3 Clarkson St,Manhattan,,,11.00 kW,"12,912 kWh",3 MT CO2,1
22,22,22,22,22,22,22,22,22,22,3,DOE,M600,225 W. 24 STREET,Manhattan,,,91.50 kW,"107,406 kWh",28 MT CO2,1007740019
23,23,23,23,23,23,23,23,23,23,4,DCLA,Carnegie Hall,881 7th Ave,Manhattan,,,0.00 kW,0 kWh,0 MT CO2,1010090001
24,24,24,24,24,24,24,24,24,24,4,DCLA,New York City Center,131 W 55 St.,Manhattan,,,0.00 kW,0 kWh,0 MT CO2,1010080015
25,25,25,25,25,25,25,25,25,25,4,NYPL,96th Street Branch Library,112 East 96th St,Manhattan,,,2.44 kW,"2,864 kWh",1 MT CO2,1015240064
26,26,26,26,26,26,26,26,26,26,4,DCLA,The Met Breuer,945 Madison Avenue,Manhattan,,,15.30 kW,"17,964 kWh",5 MT CO2,1013890050
27,27,27,27,27,27,27,27,27,27,4,DPR,Recreation Center 54,348 East 54th St,Manhattan,,,36.60 kW,"42,963 kWh",11 MT CO2,1013460032
28,28,28,28,28,28,28,28,28,28,4,NYPL,Central Library - Stephen A. Schwartzman Building,476 5th Ave,Manhattan,,,250.10 kW,"293,577 kWh",76 MT CO2,1012570001
29,29,29,29,29,29,29,29,29,29,5,DOE,M151,1763 1ST AVENUE,Manhattan,,,0.00 kW,0 kWh,0 MT CO2,1015540023
30,30,30,30,30,30,30,30,30,30,5,DOE,M816,323 East 91st St,Manhattan,,,0.00 kW,0 kWh,0 MT CO2,1015540015
